facing_vig,person_vig,text_vig,facing_train,person_train,food_train,correct_key_train,facing_exp,person_exp,food_exp,showL_R,consistent,vig_random.thisRepN,vig_random.thisTrialN,vig_random.thisN,vig_random.thisIndex,trainTrials.thisRepN,trainTrials.thisTrialN,trainTrials.thisN,trainTrials.thisIndex,expBlock.thisRepN,expBlock.thisTrialN,expBlock.thisN,expBlock.thisIndex,breakLoop.thisRepN,breakLoop.thisTrialN,breakLoop.thisN,breakLoop.thisIndex,expTrials.thisRepN,expTrials.thisTrialN,expTrials.thisN,expTrials.thisIndex,train_resp.keys,train_resp.corr,train_resp.rt,train_resp.started,train_resp.stopped,exp_resp.keys,exp_resp.rt,exp_resp.started,exp_resp.stopped,session,participant,date,expName,psychopyVersion,frameRate,
C,D,"is allergic to gluten, meaning she can’t eat wheat products. She enjoys eating dairy products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
C,G,"cannot eat dairy products because she is lactose intolerant. She enjoys eating wheat products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
C,U,"did not report her food preferences, so her food preferences are unknown.",,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,U,g,n,,,,,,,,,,0,0,0,16,,,,,,,,,,,,,v,0,7.555973042934056,585.2563287977246,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,D,y,b,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,b,1,2.735575931837957,596.0982634879674,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,U,d,n,,,,,,,,,,0,2,2,15,,,,,,,,,,,,,b,0,9.574496743569398,602.1198128400756,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,G,g,v,,,,,,,,,,0,3,3,19,,,,,,,,,,,,,b,0,4.036578595847459,614.9803261714478,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,D,g,b,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,b,1,6.65540628042254,622.3029113933608,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,U,y,n,,,,,,,,,,0,5,5,17,,,,,,,,,,,,,n,1,2.568790478993833,632.2442968296018,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,G,d,b,,,,,,,,,,0,6,6,3,,,,,,,,,,,,,b,1,6.271804206569868,638.099079444859,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,G,d,b,,,,,,,,,,0,7,7,12,,,,,,,,,,,,,b,1,2.602152640993154,647.6568256771334,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,D,d,v,,,,,,,,,,0,8,8,18,,,,,,,,,,,,,v,1,1.4511788811159931,653.5449864535458,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,D,y,b,,,,,,,,,,0,9,9,11,,,,,,,,,,,,,n,0,1.2343900322248373,658.2654576739351,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,D,d,v,,,,,,,,,,0,10,10,0,,,,,,,,,,,,,v,1,2.468713049122016,662.7691231406643,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,U,d,n,,,,,,,,,,0,11,11,6,,,,,,,,,,,,,n,1,1.2343679956520646,668.5238259110847,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,U,g,n,,,,,,,,,,0,12,12,7,,,,,,,,,,,,,n,1,0.7670311757101445,673.0611158655774,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,G,y,b,,,,,,,,,,0,13,13,5,,,,,,,,,,,,,b,1,2.0183048442722793,677.1141627234792,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,G,y,b,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,b,1,1.0174955285383476,682.4184597040166,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,D,g,b,,,,,,,,,,0,15,15,10,,,,,,,,,,,,,b,1,1.0974514553945482,686.7754500516949,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,G,g,v,,,,,,,,,,0,16,16,4,,,,,,,,,,,,,v,1,3.1359230833077163,691.1588734180077,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,U,y,n,,,,,,,,,,0,17,17,8,,,,,,,,,,,,,n,1,1.4011664289428154,697.5807708272023,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,D,d,v,,,,,,,,,,0,18,18,9,,,,,,,,,,,,,v,1,2.6855402356104605,702.2679399578883,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,G,g,v,,,,,,,,,,0,19,19,13,,,,,,,,,,,,,v,1,4.487033288807652,708.2394318790703,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,G,d,b,,,,,,,,,,1,0,20,12,,,,,,,,,,,,,b,1,3.969919475952338,715.9957695819849,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,D,y,b,,,,,,,,,,1,1,21,2,,,,,,,,,,,,,b,1,1.6346653384352976,723.2516799867171,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,G,g,v,,,,,,,,,,1,2,22,4,,,,,,,,,,,,,v,1,3.8865228252088855,728.1723175379411,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,U,y,n,,,,,,,,,,1,3,23,8,,,,,,,,,,,,,n,1,0.6838956432493433,735.3448448761192,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,U,d,n,,,,,,,,,,1,4,24,15,,,,,,,,,,,,,n,1,0.9507941467236378,739.2980419147661,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,D,d,v,,,,,,,,,,1,5,25,9,,,,,,,,,,,,,v,1,1.7681034209508653,743.5348348389143,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,G,y,b,,,,,,,,,,1,6,26,14,,,,,,,,,,,,,b,1,1.851526938198731,748.588932811097,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,G,y,b,,,,,,,,,,1,7,27,5,,,,,,,,,,,,,b,1,0.9674700959185429,753.7264506780775,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,G,g,v,,,,,,,,,,1,8,28,13,,,,,,,,,,,,,v,1,3.799781747378802,757.9999103443588,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,U,g,n,,,,,,,,,,1,9,29,7,,,,,,,,,,,,,n,1,0.8340105805727944,765.0856987178031,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,U,y,n,,,,,,,,,,1,10,30,17,,,,,,,,,,,,,n,1,0.8974230795356561,769.2256988687386,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,D,d,v,,,,,,,,,,1,11,31,0,,,,,,,,,,,,,v,1,3.4361620140825835,773.4090971797723,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,D,g,b,,,,,,,,,,1,12,32,10,,,,,,,,,,,,,b,1,0.9841517806617048,780.1145690416361,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,U,d,n,,,,,,,,,,1,13,33,6,,,,,,,,,,,,,n,1,0.8338059121397237,784.4016056510227,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,D,y,b,,,,,,,,,,1,14,34,11,,,,,,,,,,,,,b,1,1.2844314639969525,788.5213867946604,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,G,g,v,,,,,,,,,,1,15,35,19,,,,,,,,,,,,,v,1,2.4153193416186696,793.128471401511,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,D,d,v,,,,,,,,,,1,16,36,18,,,,,,,,,,,,,v,1,1.668057083776148,798.829767182111,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,G,d,b,,,,,,,,,,1,17,37,3,,,,,,,,,,,,,b,1,3.152570052903684,803.783819722732,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,U,g,n,,,,,,,,,,1,18,38,16,,,,,,,,,,,,,n,1,1.7514250567892304,810.22240757092,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,D,g,b,,,,,,,,,,1,19,39,1,,,,,,,,,,,,,b,1,1.9182328480746946,815.2598193303002,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,D,d,v,,,,,,,,,,2,0,40,0,,,,,,,,,,,,,v,1,1.5179128649797349,820.4473704785414,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
,,,C,D,y,b,,,,,,,,,,2,1,41,2,,,,,,,,,,,,,b,1,1.0508670485342009,825.2512754797863,None,,,,,001,43,2019_Oct_18_1457,ACPT_experiment_5_30_19,3.1.0,59.96540744392451,
