facing_vig,person_vig,text_vig,facing_train,person_train,food_train,correct_key_train,facing_exp,person_exp,food_exp,showL_R,consistent,vig_random.thisRepN,vig_random.thisTrialN,vig_random.thisN,vig_random.thisIndex,trainTrials.thisRepN,trainTrials.thisTrialN,trainTrials.thisN,trainTrials.thisIndex,expBlock.thisRepN,expBlock.thisTrialN,expBlock.thisN,expBlock.thisIndex,breakLoop.thisRepN,breakLoop.thisTrialN,breakLoop.thisN,breakLoop.thisIndex,expTrials.thisRepN,expTrials.thisTrialN,expTrials.thisN,expTrials.thisIndex,train_resp.keys,train_resp.corr,train_resp.rt,train_resp.started,train_resp.stopped,exp_resp.keys,exp_resp.rt,exp_resp.started,exp_resp.stopped,session,participant,date,expName,psychopyVersion,frameRate,
C,U,"did not report her food preferences, so her food preferences are unknown.",,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
C,G,"cannot eat dairy products because she is lactose intolerant. She enjoys eating wheat products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
C,D,"is allergic to gluten, meaning she can’t eat wheat products. She enjoys eating dairy products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,G,y,b,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,b,1,1.701317792860209,174.42520070562387,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,G,g,v,,,,,,,,,,0,1,1,13,,,,,,,,,,,,,v,1,1.2176244833681267,179.41238530891496,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,D,g,b,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,b,1,1.4508810038096271,183.93278670809013,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,D,d,v,,,,,,,,,,0,3,3,9,,,,,,,,,,,,,v,1,1.1175279490635148,188.66952757959007,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,U,y,n,,,,,,,,,,0,4,4,17,,,,,,,,,,,,,b,0,1.1006090898008551,193.1065191746493,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,G,d,b,,,,,,,,,,0,5,5,12,,,,,,,,,,,,,v,0,2.7854843558889115,197.49300081018737,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,U,g,n,,,,,,,,,,0,6,6,16,,,,,,,,,,,,,v,0,1.3176884169697587,203.56434986349996,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,G,g,v,,,,,,,,,,0,7,7,19,,,,,,,,,,,,,v,1,1.1308945391392626,208.1878962645642,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,D,y,b,,,,,,,,,,0,8,8,2,,,,,,,,,,,,,b,1,1.2009274900010496,212.6046612364371,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,G,g,v,,,,,,,,,,0,9,9,4,,,,,,,,,,,,,v,1,1.5343490665945865,217.10830436499236,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,D,g,b,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,b,1,0.9507373192318482,221.92852265688634,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,D,d,v,,,,,,,,,,0,11,11,18,,,,,,,,,,,,,v,1,1.9181547277657955,226.14845545114076,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,G,y,b,,,,,,,,,,0,12,12,14,,,,,,,,,,,,,b,1,1.0842103324939671,231.35243291801817,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,D,d,v,,,,,,,,,,0,13,13,0,,,,,,,,,,,,,v,1,1.1175517958763521,235.72249708103118,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,U,d,n,,,,,,,,,,0,14,14,6,,,,,,,,,,,,,b,0,0.9674186159681994,240.1258972739779,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,U,g,n,,,,,,,,,,0,15,15,7,,,,,,,,,,,,,n,1,0.9671415099910519,244.39613265105436,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,D,y,b,,,,,,,,,,0,16,16,11,,,,,,,,,,,,,b,1,1.6846211013471475,248.64913583988528,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,U,d,n,,,,,,,,,,0,17,17,15,,,,,,,,,,,,,n,1,0.9340647763892775,253.61963461856794,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,U,y,n,,,,,,,,,,0,18,18,8,,,,,,,,,,,,,n,1,0.6638550572752138,257.8595724719671,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,G,d,b,,,,,,,,,,0,19,19,3,,,,,,,,,,,,,b,1,2.3852102081254998,261.8259460542904,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,D,g,b,,,,,,,,,,1,0,20,1,,,,,,,,,,,,,b,1,0.9840962904017942,267.4970128096611,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,D,d,v,,,,,,,,,,1,1,21,0,,,,,,,,,,,,,v,1,1.000768833244365,271.75030880110353,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,D,y,b,,,,,,,,,,1,2,22,2,,,,,,,,,,,,,b,1,1.167550709185889,276.0202800521147,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,U,g,n,,,,,,,,,,1,3,23,16,,,,,,,,,,,,,b,0,3.1855511269568524,280.4906239774573,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,D,d,v,,,,,,,,,,1,4,24,18,,,,,,,,,,,,,b,0,2.1183106677926844,286.96203316095125,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,G,d,b,,,,,,,,,,1,5,25,3,,,,,,,,,,,,,b,1,2.0515945366059896,292.36619856484685,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,D,g,b,,,,,,,,,,1,6,26,10,,,,,,,,,,,,,v,0,1.0841795429405465,297.7036538747161,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,G,y,b,,,,,,,,,,1,7,27,5,,,,,,,,,,,,,n,0,1.2342867630286491,302.0903797136707,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,D,d,v,,,,,,,,,,1,8,28,9,,,,,,,,,,,,,v,1,6.154703617346968,306.610579773318,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,U,y,n,,,,,,,,,,1,9,29,17,,,,,,,,,,,,,n,1,1.1175391178221616,316.0511441639319,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,G,g,v,,,,,,,,,,1,10,30,13,,,,,,,,,,,,,v,1,4.169652247095655,320.4714638198602,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,U,d,n,,,,,,,,,,1,11,31,15,,,,,,,,,,,,,n,1,1.267656299241935,327.9269771420768,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,G,g,v,,,,,,,,,,1,12,32,4,,,,,,,,,,,,,v,1,1.184234118929453,332.4805074963515,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,G,g,v,,,,,,,,,,1,13,33,19,,,,,,,,,,,,,v,1,2.001553966842039,336.9339265252602,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,U,d,n,,,,,,,,,,1,14,34,6,,,,,,,,,,,,,n,1,1.3677534372618538,342.2213159092644,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,G,d,b,,,,,,,,,,1,15,35,12,,,,,,,,,,,,,b,1,2.618451937505597,346.90852846463895,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,G,y,b,,,,,,,,,,1,16,36,14,,,,,,,,,,,,,b,1,1.884787002702069,352.8128511367395,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,D,y,b,,,,,,,,,,1,17,37,11,,,,,,,,,,,,,b,1,1.250981945246167,357.98351581677343,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,U,g,n,,,,,,,,,,1,18,38,7,,,,,,,,,,,,,n,1,1.1508953722695878,362.53702836140656,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,U,y,n,,,,,,,,,,1,19,39,8,,,,,,,,,,,,,n,1,0.9674119750852697,366.9570959656048,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,D,g,b,,,,,,,,,,2,0,40,10,,,,,,,,,,,,,b,1,1.317431535502692,371.2273147404703,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,U,d,n,,,,,,,,,,2,1,41,6,,,,,,,,,,,,,n,1,1.3510694237993448,375.830583806146,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,G,d,b,,,,,,,,,,2,2,42,3,,,,,,,,,,,,,b,1,2.218373695821356,380.4675260775439,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,U,d,n,,,,,,,,,,2,3,43,15,,,,,,,,,,,,,n,1,1.2509958307346096,385.9717391146878,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,U,y,n,,,,,,,,,,2,4,44,17,,,,,,,,,,,,,n,1,1.2340588599654438,390.52551065379157,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,G,d,b,,,,,,,,,,2,5,45,12,,,,,,,,,,,,,b,1,3.0189874946117925,395.0621161116287,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,U,g,n,,,,,,,,,,2,6,46,7,,,,,,,,,,,,,n,1,1.4010873541883484,401.36697705755796,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,U,g,n,,,,,,,,,,2,7,47,16,,,,,,,,,,,,,n,1,1.0174622043159616,406.0539167329771,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,D,g,b,,,,,,,,,,2,8,48,1,,,,,,,,,,,,,b,1,2.7020887391117867,410.3572457477203,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,D,d,v,,,,,,,,,,2,9,49,9,,,,,,,,,,,,,v,1,1.1342179996936466,416.3285160763735,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,G,g,v,,,,,,,,,,2,10,50,19,,,,,,,,,,,,,v,1,2.051348522043554,420.7655420832816,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,G,g,v,,,,,,,,,,2,11,51,13,,,,,,,,,,,,,v,1,3.5693081889330642,426.08604019787526,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,D,d,v,,,,,,,,,,2,12,52,0,,,,,,,,,,,,,b,0,1.1008584248083935,432.94132869598616,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,D,y,b,,,,,,,,,,2,13,53,11,,,,,,,,,,,,,b,1,1.250968361619016,437.3113783697954,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
,,,C,G,g,v,,,,,,,,,,2,14,54,4,,,,,,,,,,,,,v,1,1.5679021326905058,441.8481794318541,None,,,,,001,4,2019_Jun_04_1459,ACPT_experiment_5_30_19,3.1.0,59.95551493584245,
