facing_vig,person_vig,text_vig,facing_train,person_train,food_train,correct_key_train,vig_random.thisRepN,vig_random.thisTrialN,vig_random.thisN,vig_random.thisIndex,trainTrials.thisRepN,trainTrials.thisTrialN,trainTrials.thisN,trainTrials.thisIndex,train_resp.keys,train_resp.corr,train_resp.rt,train_resp.started,train_resp.stopped,session,participant,date,expName,psychopyVersion,frameRate,
C,U,"did not report her food preferences, so her food preferences are unknown.",,,,,0,0,0,2,,,,,,,,,,001,6,2019_Jun_05_1404,ACPT_experiment_5_30_19,3.1.0,59.954574822069624,
C,G,"cannot eat dairy products because she is lactose intolerant. She enjoys eating wheat products. She thinks eating insects, like crickets, is disgusting.",,,,,0,1,1,0,,,,,,,,,,001,6,2019_Jun_05_1404,ACPT_experiment_5_30_19,3.1.0,59.954574822069624,
C,D,"is allergic to gluten, meaning she can’t eat wheat products. She enjoys eating dairy products. She thinks eating insects, like crickets, is disgusting.",,,,,0,2,2,1,,,,,,,,,,001,6,2019_Jun_05_1404,ACPT_experiment_5_30_19,3.1.0,59.954574822069624,
,,,C,D,g,b,,,,,0,0,0,10,v,0,1.7680123833624748,3520.5787745952703,None,001,6,2019_Jun_05_1404,ACPT_experiment_5_30_19,3.1.0,59.954574822069624,
,,,C,D,d,v,,,,,0,1,1,0,v,1,1.5679128914480316,3525.615932833298,None,001,6,2019_Jun_05_1404,ACPT_experiment_5_30_19,3.1.0,59.954574822069624,
,,,C,U,g,n,,,,,0,2,2,16,v,0,1.7013319721618245,3530.4696682475897,None,001,6,2019_Jun_05_1404,ACPT_experiment_5_30_19,3.1.0,59.954574822069624,
,,,C,D,y,b,,,,,0,3,3,2,n,0,1.0674990461338894,3535.456820327744,None,001,6,2019_Jun_05_1404,ACPT_experiment_5_30_19,3.1.0,59.954574822069624,
,,,C,U,y,n,,,,,0,4,4,8,b,0,0.8139739654779987,3539.8301755114653,None,001,6,2019_Jun_05_1404,ACPT_experiment_5_30_19,3.1.0,59.954574822069624,
,,,C,D,d,v,,,,,0,5,5,18,b,0,5.170637086335773,3543.929975622066,None,001,6,2019_Jun_05_1404,ACPT_experiment_5_30_19,3.1.0,59.954574822069624,
,,,C,U,y,n,,,,,0,6,6,17,b,0,1.7846597714587915,3552.3865007341146,None,001,6,2019_Jun_05_1404,ACPT_experiment_5_30_19,3.1.0,59.954574822069624,
