facing_vig,person_vig,text_vig,facing_train,person_train,food_train,correct_key_train,facing_exp,person_exp,food_exp,showL_R,consistent,vig_random.thisRepN,vig_random.thisTrialN,vig_random.thisN,vig_random.thisIndex,trainTrials.thisRepN,trainTrials.thisTrialN,trainTrials.thisN,trainTrials.thisIndex,expBlock.thisRepN,expBlock.thisTrialN,expBlock.thisN,expBlock.thisIndex,breakLoop.thisRepN,breakLoop.thisTrialN,breakLoop.thisN,breakLoop.thisIndex,expTrials.thisRepN,expTrials.thisTrialN,expTrials.thisN,expTrials.thisIndex,train_resp.keys,train_resp.corr,train_resp.rt,train_resp.started,train_resp.stopped,exp_resp.keys,exp_resp.rt,exp_resp.started,exp_resp.stopped,session,participant,date,expName,psychopyVersion,frameRate,
C,U,"did not report her food preferences, so her food preferences are unknown.",,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,001,77 ,2019_Oct_30_1105,ACPT_experiment_5_30_19,3.1.0,59.952511772372056,
C,D,"is allergic to gluten, meaning she can’t eat wheat products. She enjoys eating dairy products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,001,77 ,2019_Oct_30_1105,ACPT_experiment_5_30_19,3.1.0,59.952511772372056,
C,G,"cannot eat dairy products because she is lactose intolerant. She enjoys eating wheat products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,001,77 ,2019_Oct_30_1105,ACPT_experiment_5_30_19,3.1.0,59.952511772372056,
,,,C,G,y,b,,,,,,,,,,0,0,0,14,,,,,,,,,,,,,b,1,2.5520574608690367,1305.80609945169,None,,,,,001,77 ,2019_Oct_30_1105,ACPT_experiment_5_30_19,3.1.0,59.952511772372056,
,,,C,G,g,v,,,,,,,,,,0,1,1,19,,,,,,,,,,,,,v,1,2.368608130348548,1311.6274087427746,None,,,,,001,77 ,2019_Oct_30_1105,ACPT_experiment_5_30_19,3.1.0,59.952511772372056,
,,,C,G,g,v,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,v,1,1.384611878321266,1317.2651062992272,None,,,,,001,77 ,2019_Oct_30_1105,ACPT_experiment_5_30_19,3.1.0,59.952511772372056,
,,,C,U,g,n,,,,,,,,,,0,3,3,7,,,,,,,,,,,,,b,0,1.3977798935256942,1321.9556911472255,None,,,,,001,77 ,2019_Oct_30_1105,ACPT_experiment_5_30_19,3.1.0,59.952511772372056,
,,,C,G,y,b,,,,,,,,,,0,4,4,5,,,,,,,,,,,,,b,1,2.3518925814523755,1326.6394178929486,None,,,,,001,77 ,2019_Oct_30_1105,ACPT_experiment_5_30_19,3.1.0,59.952511772372056,
,,,C,U,y,n,,,,,,,,,,0,5,5,8,,,,,,,,,,,,,b,0,1.8515049850220748,1332.2772588359312,None,,,,,001,77 ,2019_Oct_30_1105,ACPT_experiment_5_30_19,3.1.0,59.952511772372056,
,,,C,G,d,b,,,,,,,,,,0,6,6,12,,,,,,,,,,,,,b,1,3.2359342341833326,1337.4146856182406,None,,,,,001,77 ,2019_Oct_30_1105,ACPT_experiment_5_30_19,3.1.0,59.952511772372056,
