facing_vig,person_vig,text_vig,facing_train,person_train,food_train,correct_key_train,facing_exp,person_exp,food_exp,showL_R,consistent,vig_random.thisRepN,vig_random.thisTrialN,vig_random.thisN,vig_random.thisIndex,trainTrials.thisRepN,trainTrials.thisTrialN,trainTrials.thisN,trainTrials.thisIndex,expBlock.thisRepN,expBlock.thisTrialN,expBlock.thisN,expBlock.thisIndex,breakLoop.thisRepN,breakLoop.thisTrialN,breakLoop.thisN,breakLoop.thisIndex,expTrials.thisRepN,expTrials.thisTrialN,expTrials.thisN,expTrials.thisIndex,train_resp.keys,train_resp.corr,train_resp.rt,train_resp.started,train_resp.stopped,exp_resp.keys,exp_resp.rt,exp_resp.started,exp_resp.stopped,session,participant,date,expName,psychopyVersion,frameRate,
C,G,"cannot eat dairy products because she is lactose intolerant. She enjoys eating wheat products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
C,U,"did not report her food preferences, so her food preferences are unknown.",,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
C,D,"is allergic to gluten, meaning she can’t eat wheat products. She enjoys eating dairy products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,G,g,v,,,,,,,,,,0,0,0,19,,,,,,,,,,,,,b,0,4.503204631887456,1449.5489822844966,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,G,g,v,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,v,1,4.970467520370221,1457.3212857406334,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,U,g,n,,,,,,,,,,0,2,2,7,,,,,,,,,,,,,b,0,1.734700610741129,1465.577576602218,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,D,d,v,,,,,,,,,,0,3,3,18,,,,,,,,,,,,,b,0,6.20471187894691,1470.598027807384,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,D,d,v,,,,,,,,,,0,4,4,9,,,,,,,,,,,,,v,1,11.859030608286957,1480.0885449163125,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,D,g,b,,,,,,,,,,0,5,5,1,,,,,,,,,,,,,b,1,1.5345150309649398,1495.2166686136243,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,D,y,b,,,,,,,,,,0,6,6,11,,,,,,,,,,,,,b,1,7.539047970923093,1500.0369937042333,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,G,y,b,,,,,,,,,,0,7,7,14,,,,,,,,,,,,,v,0,6.821845830537313,1510.861855960754,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,G,g,v,,,,,,,,,,0,8,8,13,,,,,,,,,,,,,v,1,2.4519009400028153,1520.9528102748645,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,U,g,n,,,,,,,,,,0,9,9,16,,,,,,,,,,,,,n,1,2.0849238769751537,1526.6905146337258,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,D,g,b,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,b,1,2.6520264508535547,1532.0612431369746,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,U,d,n,,,,,,,,,,0,11,11,6,,,,,,,,,,,,,v,0,6.504960817855135,1537.9990730066847,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,U,y,n,,,,,,,,,,0,12,12,8,,,,,,,,,,,,,n,1,1.2509462365005675,1547.789843884183,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,G,d,b,,,,,,,,,,0,13,13,12,,,,,,,,,,,,,b,1,1.8180774864986233,1552.32656939123,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,U,y,n,,,,,,,,,,0,14,14,17,,,,,,,,,,,,,n,1,2.6186565026418975,1557.4304548243945,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,G,d,b,,,,,,,,,,0,15,15,3,,,,,,,,,,,,,b,1,4.0530822150403765,1563.351609379325,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,D,d,v,,,,,,,,,,0,16,16,0,,,,,,,,,,,,,v,1,2.80215318421142,1570.6904968243462,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,U,d,n,,,,,,,,,,0,17,17,15,,,,,,,,,,,,,n,1,0.9507347274757194,1576.7617569828617,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,D,y,b,,,,,,,,,,0,18,18,2,,,,,,,,,,,,,b,1,5.120559842383955,1580.9983014681266,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,G,y,b,,,,,,,,,,0,19,19,5,,,,,,,,,,,,,v,0,2.9188921599788955,1589.4046671441993,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,G,g,v,,,,,,,,,,1,0,20,4,,,,,,,,,,,,,v,1,1.2009568164794473,1595.5926614488199,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,U,g,n,,,,,,,,,,1,1,21,7,,,,,,,,,,,,,n,1,0.9002958470036901,1600.0964936349574,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,U,d,n,,,,,,,,,,1,2,22,15,,,,,,,,,,,,,n,1,1.384413049626346,1604.2659154730609,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,D,g,b,,,,,,,,,,1,3,23,10,,,,,,,,,,,,,b,1,1.3007104735152097,1608.953092206404,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,G,y,b,,,,,,,,,,1,4,24,14,,,,,,,,,,,,,v,0,6.454903480707799,1613.5396018728225,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,G,g,v,,,,,,,,,,1,5,25,19,,,,,,,,,,,,,v,1,1.0174960555241341,1623.2636102148563,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,G,y,b,,,,,,,,,,1,6,26,5,,,,,,,,,,,,,b,1,1.497797523047666,1627.5869207914247,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,U,d,n,,,,,,,,,,1,7,27,6,,,,,,,,,,,,,n,1,0.950754649832561,1632.3705036220954,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,G,g,v,,,,,,,,,,1,8,28,13,,,,,,,,,,,,,v,1,0.7002790035558064,1636.624001127726,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,D,g,b,,,,,,,,,,1,9,29,1,,,,,,,,,,,,,b,1,2.2350469880866513,1640.610091700195,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
,,,C,D,d,v,,,,,,,,,,1,10,30,9,,,,,,,,,,,,,v,1,2.502002649673159,1646.1142616608422,None,,,,,001,92,2019_Nov_04_1203,ACPT_experiment_5_30_19,3.1.0,59.965735013891,
